place_id,title,main_category,rating,reviews,link,website,phone,address,price_range,description,reviews_per_rating,latitude,longitude
AC001,4 Corner Khaoyai - Standard King Room,บ้าน,4.3,58,https://www.google.com/maps/place/4+Corner+Khaoyai+-+Standard+King+Room/data=!4m9!3m8!5m2!4m1!1i2!8m2!3d14.5532598!4d101.4320679!16s%2Fg%2F11tp2q92w8!17BQ0FF?authuser=0&hl=th&rclk=1,https://www.bluepillow.com/search?p_id=589de3927c00cb10c8d926fe&dest=bkng&cat=House&accomodationids=5b91e53c7c00cb35f8d1ce05,,,,บ้าน • นอนได้ 2 คน • 1 ห้องนอน • เตียง 1 หลัง,"{'1': None, '2': None, '3': None, '4': None, '5': None}",14.55325985,101.4320679
AC002,7 Up Resort Nakhon Nayok,รีสอร์ท,3.6,23,https://www.google.com/maps/place/7+Up+Resort+Nakhon+Nayok/data=!4m10!3m9!1s0x311dae14bf9a9003:0xb2e1c0cf4824bd07!5m2!4m1!1i2!8m2!3d14.184817!4d101.2339974!16s%2Fg%2F11cnbdy9wq!19sChIJA5CavxSuHTERB70kSM_A4bI?authuser=0&hl=th&rclk=1,https://www.expedia.co.th/Nakhon-Nayok-Hotels-7-Up-Resort.h20610573.Hotel-Information,091 004 3130,7 Up Resort Nakhon Nayok ตำบล วังกระโจม อำเภอเมืองนครนายก นครนายก 26130,,,"{'1': 3, '2': 1, '3': 7, '4': 4, '5': 8}",14.184817,101.2339974
AC003,After House Resort,โฮสเทล,4.8,12,https://www.google.com/maps/place/After+House+Resort/data=!4m10!3m9!1s0x311db32145aa096d:0x27bcfa26762b1d57!5m2!4m1!1i2!8m2!3d14.2800903!4d101.2748131!16s%2Fg%2F11n8t77y1w!19sChIJbQmqRSGzHTERVx0rdib6vCc?authuser=0&hl=th&rclk=1,,094 666 2916,After House Resort ทางหลวงแผ่นดินหมายเลข. 3049 ตำบล สาริกา อำเภอเมืองนครนายก นครนายก 26000,,,"{'1': 0, '2': 0, '3': 0, '4': 2, '5': 10}",14.2800903,101.2748131
AC004,At Rice Resort,รีสอร์ท,4.4,313,https://www.google.com/maps/place/At+Rice+Resort/data=!4m10!3m9!1s0x311db489509c5dd7:0xd2f6c2cac3afaa8f!5m2!4m1!1i2!8m2!3d14.3109941!4d101.30233!16s%2Fg%2F11g_rm6v77!19sChIJ112cUIm0HTERj6qvw8rC9tI?authuser=0&hl=th&rclk=1,https://www.atriceresort.com/,037 385 013,"At Rice Resort, 230/1 Moo 1 T, ตำบล สาริกา เมือง, นครนายก 26000",,,"{'1': 11, '2': 5, '3': 21, '4': 79, '5': 197}",14.3109941,101.30233
AC005,Baanbell Riverfront,โรงแรม,5,6,https://www.google.com/maps/place/Baanbell+Riverfront/data=!4m10!3m9!1s0x311db5c4b8302bd5:0x8d44ff5c574f41f9!5m2!4m1!1i2!8m2!3d14.2990712!4d101.3036264!16s%2Fg%2F11fstgr72c!19sChIJ1SswuMS1HTER-UFPV1z_RI0?authuser=0&hl=th&rclk=1,https://m.facebook.com/profile.php?id=100067074645105,095 557 6767,"Baanbell Riverfront Unnamed Road, ตำบล หินตั้ง อำเภอเมืองนครนายก นครนายก 26000",,,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 6}",14.2990712,101.3036264
AC006,Baanna Place,โรงแรม,4,120,https://www.google.com/maps/place/Baanna+Place/data=!4m10!3m9!1s0x311dbb804e5a7c0b:0x2ad6d154574950df!5m2!4m1!1i2!8m2!3d14.2614957!4d101.0740625!16s%2Fg%2F11f662_vn2!19sChIJC3xaToC7HTER31BJV1TR1io?authuser=0&hl=th&rclk=1,,093 635 9198,"178, Baanna Place, 9 อำเภอบ้านนา นครนายก 26110",,,"{'1': 7, '2': 5, '3': 20, '4': 42, '5': 46}",14.2614957,101.0740625
AC007,BaanSuanKhunYaiy Resort,รีสอร์ท,4.4,185,https://www.google.com/maps/place/BaanSuanKhunYaiy+Resort/data=!4m10!3m9!1s0x311db4665809418d:0x21c9cebe7d0c157c!5m2!4m1!1i2!8m2!3d14.31472!4d101.28954!16s%2Fg%2F11bt_jy465!19sChIJjUEJWGa0HTERfBUMfb7OySE?authuser=0&hl=th&rclk=1,http://www.baansuankhunyaiy.com/,098 347 6289,"BaanSuanKhunYaiy Resort, 616/1 หมู่ที่ 1, ซอยสาริกา-นางรอง 25, สาริกา, อำเภอเมืองนครนายก นครนายก 26000",,,"{'1': 4, '2': 5, '3': 18, '4': 52, '5': 106}",14.31472,101.28954
AC008,Castle House Resort (คาสเซิล เฮ้าส์ รีสอร์ท),ที่พัก,4.5,23,https://www.google.com/maps/place/Castle+House+Resort+%28%E0%B8%84%E0%B8%B2%E0%B8%AA%E0%B9%80%E0%B8%8B%E0%B8%B4%E0%B8%A5+%E0%B9%80%E0%B8%AE%E0%B9%89%E0%B8%B2%E0%B8%AA%E0%B9%8C+%E0%B8%A3%E0%B8%B5%E0%B8%AA%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%97%29/data=!4m10!3m9!1s0x311db30fb39f9b7b:0x8bd39ca7ec830fe!5m2!4m1!1i2!8m2!3d14.2526437!4d101.258636!16s%2Fg%2F11k0mcb42r!19sChIJe5ufsw-zHTER_jDIfso5vQg?authuser=0&hl=th&rclk=1,,095 982 3991,7735+3F2 Castle House Resort (คาสเซิล เฮ้าส์ รีสอร์ท) ตำบล สาริกา อำเภอเมืองนครนายก นครนายก 26000,,,"{'1': 0, '2': 0, '3': 4, '4': 4, '5': 15}",14.2526437,101.258636
AC009,Chill Boxs Nakhonnayok,โรงแรม,,,https://www.google.com/maps/place/Chill+Boxs+Nakhonnayok/data=!4m10!3m9!1s0x311db1fabb683c2d:0x1f5548f6e8a8005f!5m2!4m1!1i2!8m2!3d14.2743741!4d101.1664904!16s%2Fg%2F11h32p12bc!19sChIJLTxou_qxHTERXwCo6PZIVR8?authuser=0&hl=th&rclk=1,,093 695 2555,75F8+PHX Chill Boxs Nakhonnayok Unnamed Road ตำบล พรหมณี อำเภอเมืองนครนายก นครนายก 26000,,,"{'1': None, '2': None, '3': None, '4': None, '5': None}",14.2743741,101.1664904
AC010,Cho Kaew Resort,รีสอร์ท,3.6,7,https://www.google.com/maps/place/Cho+Kaew+Resort/data=!4m10!3m9!1s0x311db189117171d9:0x9eafe1636193690!5m2!4m1!1i2!8m2!3d14.2361525!4d101.2486293!16s%2Fg%2F11f4wt1y5n!19sChIJ2XFxEYmxHTERkDYZNhb-6gk?authuser=0&hl=th&rclk=1,,085 920 6549,Cho Kaew Resort 85 Moo 9 Tumbol Sarika Amphor Mueng Ban Nong Bua Noi 26000,,,"{'1': 1, '2': 1, '3': 1, '4': 1, '5': 3}",14.2361525,101.2486293
