place_id,title,main_category,rating,reviews,link,website,phone,address,price_range,description,reviews_per_rating,latitude,longitude
RE008,149มินิมาร์ท/กาแฟสด,ร้านกาแฟ,5,1,https://www.google.com/maps/place/149%E0%B8%A1%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%A1%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%97%2F%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F%E0%B8%AA%E0%B8%94/data=!4m7!3m6!1s0x311dad85b8fbf10d:0x855a689306b0893!8m2!3d14.1829087!4d101.3062382!16s%2Fg%2F11t4bsymy7!19sChIJDfH7uIWtHTERkwhrMImmVQg?authuser=0&hl=th&rclk=1,,093 361 3296,149มินิมาร์ท/กาแฟสด 149 ตำบล โคกกรวด อำเภอปากพลี นครนายก 26130,,,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 1}",14.1829087,101.3062382
RE009,20 cafe,ร้านกาแฟ,5,1,https://www.google.com/maps/place/20+cafe/data=!4m7!3m6!1s0x311dbc7ff464b179:0xc4b8e63f968242bb!8m2!3d14.2610317!4d101.0708792!16s%2Fg%2F11sgyzq0h3!19sChIJebFk9H-8HTERu0KClj_muMQ?authuser=0&hl=th&rclk=1,,086 887 5089,20 cafe 80 หมู่ที่ 4 อำเภอบ้านนา นครนายก 26110,,,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 1}",14.2610317,101.0708792
RE025,Bear brew intense cafe',ร้านกาแฟ,4,1,https://www.google.com/maps/place/Bear+brew+intense+cafe%27/data=!4m7!3m6!1s0x311dbd2153c931b3:0xb62468f1891ec683!8m2!3d14.2600192!4d101.0669326!16s%2Fg%2F11lkhh8mh6!19sChIJszHJUyG9HTERg8YeifFoJLY?authuser=0&hl=th&rclk=1,,095 524 7970,Bear brew intense cafe' 102 เทศบาล 4 ซอย 1/2 อำเภอบ้านนา นครนายก 26110,,,"{'1': 0, '2': 0, '3': 0, '4': 1, '5': 0}",14.2600192,101.0669326
RE029,BLACK CANYON coffee&eatery,ร้านกาแฟ,5,1,https://www.google.com/maps/place/BLACK+CANYON+coffee%26eatery/data=!4m7!3m6!1s0x311da1e0fb5d9d2b:0x955a5a93a461bb7f!8m2!3d14.1120422!4d100.9852589!16s%2Fg%2F11k4wtp7pg!19sChIJK51d--ChHTERf7thpJNaWpU?authuser=0&hl=th&rclk=1,,,4X6P+R46 BLACK CANYON coffee&eatery ถนน รังสิต - นครนายก ตำบลองครักษ์ อำเภอองครักษ์ นครนายก 26120,,,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 1}",14.1120422,100.9852589
RE041,Café Panda,ร้านกาแฟ,5,1,https://www.google.com/maps/place/Caf%C3%A9+Panda/data=!4m7!3m6!1s0x311dbb62a57ee959:0x4f3dd22ed99483f4!8m2!3d14.2474098!4d101.0716301!16s%2Fg%2F11bx1hmm6x!19sChIJWel-pWK7HTER9IOU2S7SPU8?authuser=0&hl=th&rclk=1,,081 841 8353,"Café Panda, 63, ตำบล พิกุลออก อำเภอบ้านนา นครนายก 26110",,,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 1}",14.2474098,101.0716301
RE044,Cafe'farmer นครนายก,ร้านกาแฟ,4,1,https://www.google.com/maps/place/Cafe%27farmer+%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B8%81/data=!4m7!3m6!1s0x311daf4d1c97188b:0x5b7303fcaf4c56c8!8m2!3d14.1978189!4d101.2222278!16s%2Fg%2F11k69ptrjz!19sChIJixiXHE2vHTERyFZMr_wDc1s?authuser=0&hl=th&rclk=1,https://www.facebook.com/profile.php?id=100005443698446,061 412 4112,"Cafe'farmer นครนายก ข4-389/1, ถ.สุวรรณศร, ต.นครนายก อ.เมือง อำเภอเมืองนครนายก นครนายก 26000",,,"{'1': 0, '2': 0, '3': 0, '4': 1, '5': 0}",14.1978189,101.2222278
RE045,Cafe'สวนลุงกร นครนายก,ร้านกาแฟ,5,1,https://www.google.com/maps/place/Cafe%27%E0%B8%AA%E0%B8%A7%E0%B8%99%E0%B8%A5%E0%B8%B8%E0%B8%87%E0%B8%81%E0%B8%A3+%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B8%81/data=!4m7!3m6!1s0x311db102acf84c87:0x181d649faac05f75!8m2!3d14.2350071!4d101.2450993!16s%2Fg%2F11f9gz7x8r!19sChIJh0z4rAKxHTERdV_Aqp9kHRg?authuser=0&hl=th&rclk=1,,082 199 9257,66PW+225 Cafe'สวนลุงกร นครนายก ตำบล สาริกา อำเภอเมืองนครนายก นครนายก 26000,,,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 1}",14.2350071,101.2450993
RE048,Cat a Cup ~แคท อะ คัพ~,ร้านกาแฟ,5,1,https://www.google.com/maps/place/Cat+a+Cup+~%E0%B9%81%E0%B8%84%E0%B8%97+%E0%B8%AD%E0%B8%B0+%E0%B8%84%E0%B8%B1%E0%B8%9E~/data=!4m7!3m6!1s0x311d992abe48652d:0xee23e52210da582d!8m2!3d14.1644497!4d100.9349633!16s%2Fg%2F11tbrgrtl_!19sChIJLWVIviqZHTERLVjaECLlI-4?authuser=0&hl=th&rclk=1,,,"Cat a Cup ~แคท อะ คัพ~, นย.3012 ตำบล บางปลากด อำเภอองครักษ์ นครนายก 26120",,,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 1}",14.1644497,100.9349633
RE056,Coconut coffee,ร้านกาแฟ,4,1,https://www.google.com/maps/place/Coconut+coffee/data=!4m7!3m6!1s0x311da13925fd3e89:0x335738d3933b5728!8m2!3d14.1223039!4d101.0032026!16s%2Fg%2F11fjs02y6p!19sChIJiT79JTmhHTERKFc7k9M4VzM?authuser=0&hl=th&rclk=1,,092 257 2627,Coconut coffee 293/39 หมู่ที่1 ถนน หน้า ตำบลองครักษ์ อำเภอองครักษ์ นครนายก 26120,,,"{'1': 0, '2': 0, '3': 0, '4': 1, '5': 0}",14.1223039,101.0032026
RE061,Coffee ben,ร้านกาแฟ,5,1,https://www.google.com/maps/place/Coffee+ben/data=!4m7!3m6!1s0x311dbbe774809ba1:0x8330695b65fc0833!8m2!3d14.256131!4d101.0831383!16s%2Fg%2F11kqbmd_ym!19sChIJoZuAdOe7HTERMwj8ZVtpMIM?authuser=0&hl=th&rclk=1,,082 798 9526,390 Coffee ben บ้านนา อำเภอบ้านนา นครนายก 26110,,,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 1}",14.256131,101.0831383
