place_id,title,main_category,rating,reviews,link,website,phone,address,price_range,description,reviews_per_rating,latitude,longitude
TA001,Baimai Activity Space,สโมสร,4.6,43,https://www.google.com/maps/place/Baimai+Activity+Space/data=!4m7!3m6!1s0x311db923e056a493:0xf5b52ea62d819905!8m2!3d14.31961!4d101.0817065!16s%2Fg%2F11ff039nv8!19sChIJk6RW4CO5HTERBZmBLaYutfU?authuser=0&hl=th&rclk=1,http://baimai.org/,089 234 0947,9 Baimai Activity Space ตำบล ป่าขะ อำเภอบ้านนา นครนายก 26110,,,"{'1': 0, '2': 0, '3': 1, '4': 17, '5': 25}",14.31961,101.0817065
TA002,Farm de Lek,ฟาร์มสัตว์ปีก,4.4,135,https://www.google.com/maps/place/Farm+de+Lek/data=!4m7!3m6!1s0x311d9f2e5ad3c1e5:0xb5848db27c228882!8m2!3d14.1204905!4d100.9446574!16s%2Fg%2F11b6_fs2h2!19sChIJ5cHTWi6fHTERgogifLKNhLU?authuser=0&hl=th&rclk=1,,098 463 8223,"Farm de Lek Unnamed Rd, Tambon Khlong Yai, Amphoe Ongkharak, Chang Wat Nakhon Nayok 26120",,,"{'1': 6, '2': 1, '3': 11, '4': 28, '5': 89}",14.1204905,100.9446574
TA003,Green Camp Nakhon Nayok,สถานที่ท่องเที่ยว,,,https://www.google.com/maps/place/Green+Camp+Nakhon+Nayok/data=!4m7!3m6!1s0x311c4d19924fbd65:0x4da399c0181522e9!8m2!3d14.2225517!4d101.3857238!16s%2Fg%2F11kbcy5g_m!19sChIJZb1PkhlNHDER6SIVGMCZo00?authuser=0&hl=th&rclk=1,,,69CP+X8 Green Camp Nakhon Nayok ตำบล นาหินลาด อำเภอปากพลี นครนายก 25230,,,"{'1': None, '2': None, '3': None, '4': None, '5': None}",14.2225517,101.3857238
TA004,Khao Yai ASEAN Heritage Park,สถานที่ท่องเที่ยว,5,1,https://www.google.com/maps/place/Khao+Yai+ASEAN+Heritage+Park/data=!4m7!3m6!1s0x311c35be4000baef:0x3512538c859c162!8m2!3d14.4390813!4d101.3721992!16s%2Fg%2F11lgy13zdg!19sChIJ77oAQL41HDERYsFZyDglUQM?authuser=0&hl=th&rclk=1,,,C9QC+JVP Khao Yai ASEAN Heritage Park ตำบล หินตั้ง อำเภอเมืองนครนายก นครนายก 26000,,,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 1}",14.4390813,101.3721992
TA005,Khlong Bod Reservoir,สถานที่ท่องเที่ยว,4.2,77,https://www.google.com/maps/place/Khlong+Bod+Reservoir/data=!4m7!3m6!1s0x311db0c5ba365f9f:0xec17ceb699d68aeb!8m2!3d14.2865358!4d101.1919006!16s%2Fg%2F11gfdztmq_!19sChIJn182usWwHTER64rWmbbOF-w?authuser=0&hl=th&rclk=1,,,"75PR+JQ6 Khlong Bod Reservoir, ตำบล เขาพระ อำเภอเมืองนครนายก นครนายก 26000",,,"{'1': 0, '2': 5, '3': 11, '4': 26, '5': 35}",14.2865358,101.1919006
TA006,Kwannakorn Sport Garden,สถานที่ท่องเที่ยว,,,https://www.google.com/maps/place/Kwannakorn+Sport+Garden/data=!4m7!3m6!1s0x311db3f33df68223:0xdc3e4e9ec6220e4a!8m2!3d14.2885223!4d101.2736484!16s%2Fg%2F1hf14pdl7!19sChIJI4L2PfOzHTERSg4ixp5OPtw?authuser=0&hl=th&rclk=1,,086 060 9399,"Kwannakorn Sport Garden, 294 Moo 1, Tumbon Sarika, Amphoe Mueang Nakhon Nayok, Changwat Nakhon Nayok, 26000",,,"{'1': None, '2': None, '3': None, '4': None, '5': None}",14.2885223,101.2736484
TA007,Leader Adventure,สถานที่ท่องเที่ยว,4.5,4,https://www.google.com/maps/place/Leader+Adventure/data=!4m7!3m6!1s0x311db1b1c3680577:0xd1eafbf2d07c8d54!8m2!3d14.282897!4d101.1716416!16s%2Fg%2F11mvvl6pmb!19sChIJdwVow7GxHTERVI180PL76tE?authuser=0&hl=th&rclk=1,,089 799 1429,75MC+5M2 Leader Adventure Unnamed Road ตำบล พรหมณี อำเภอเมืองนครนายก นครนายก 26000,,,"{'1': 0, '2': 0, '3': 1, '4': 0, '5': 3}",14.282897,101.1716416
TA008,Mazecape,สวนน้ำ,4.8,28,https://www.google.com/maps/place/Mazecape/data=!4m7!3m6!1s0x311de57ccc7e88f5:0xf5702cf3cbc7081d!8m2!3d14.0594526!4d101.0039117!16s%2Fg%2F11rn3v641v!19sChIJ9Yh-zHzlHTERHQjHy_MscPU?authuser=0&hl=th&rclk=1,,093 539 9997,9 Mazecape ตำบล ศีรษะกระบือ อำเภอองครักษ์ นครนายก 26120,,,"{'1': 0, '2': 0, '3': 1, '4': 5, '5': 22}",14.0594526,101.0039117
TA009,Meenam Meena Waterplay,สวนน้ำ,4.3,51,https://www.google.com/maps/place/Meenam+Meena+Waterplay/data=!4m7!3m6!1s0x311db3d30a0b6711:0xce324bc59b6b5175!8m2!3d14.253794!4d101.259736!16s%2Fg%2F11f06mv0ny!19sChIJEWcLCtOzHTERdVFrm8VLMs4?authuser=0&hl=th&rclk=1,,090 938 0470,Meenam Meena Waterplay 160 ถนนสาริกา สาริกา เมือง นครนายก 26000,,,"{'1': 1, '2': 2, '3': 7, '4': 11, '5': 30}",14.253794,101.259736
TA010,PPPP FARM,สวนพฤกษศาสตร์,1,1,https://www.google.com/maps/place/PPPP+FARM/data=!4m7!3m6!1s0x311daf3a2a58284f:0x710ee1bfda825764!8m2!3d14.1526909!4d101.2267795!16s%2Fg%2F11h3gh7vr4!19sChIJTyhYKjqvHTERZFeC2r_hDnE?authuser=0&hl=th&rclk=1,,,563G+3PC PPPP FARM Unnamed Road ตำบล เกาะโพธิ์ อำเภอปากพลี นครนายก 26130,,,"{'1': 1, '2': 0, '3': 0, '4': 0, '5': 0}",14.1526909,101.2267795
TA011,RATV,ร้านซ่อมรถ ATV,4.2,181,https://www.google.com/maps/place/RATV/data=!4m7!3m6!1s0x311db46187f4bbd7:0xd0844bb1bcdd15b5!8m2!3d14.3127308!4d101.2956346!16s%2Fg%2F11ckhv82_c!19sChIJ17v0h2G0HTERtRXdvLFLhNA?authuser=0&hl=th&rclk=1,,080 278 8399,RATV 481 หมู่9 ตำบล สาริกา อำเภอเมืองนครนายก นครนายก 26000,,,"{'1': 11, '2': 4, '3': 16, '4': 53, '5': 97}",14.3127308,101.2956346
TA012,Thai Puan Museum,พิพิธภัณฑ์,4.7,7,https://www.google.com/maps/place/Thai+Puan+Museum/data=!4m7!3m6!1s0x311dadd20b844615:0x5df3c743c4289596!8m2!3d14.163687!4d101.26339!16s%2Fg%2F1pzqjcw37!19sChIJFUaEC9KtHTERlpUoxEPH810?authuser=0&hl=th&rclk=1,,037 399 833,"Thai Puan Museum, 84 Moo 4 Wat Fang Khlong, Tambon Ko Wai, Amphoe Pak Phli, Nakhon Nayok, 26130",,,"{'1': 0, '2': 0, '3': 0, '4': 2, '5': 5}",14.163687,101.26339
TA013,Three Worlds,สถานที่ท่องเที่ยว,,,https://www.google.com/maps/place/Three+Worlds/data=!4m7!3m6!1s0x311db58fb51558c3:0x15f2c45289c41bb!8m2!3d14.3134771!4d101.2883788!16s%2Fg%2F11td8srsyv!19sChIJw1gVtY-1HTERu0GcKEUsXwE?authuser=0&hl=th&rclk=1,,066 124 9089,347 Three Worlds ตำบล สาริกา อำเภอเมือง นครนายก 26000,,,"{'1': None, '2': None, '3': None, '4': None, '5': None}",14.3134771,101.2883788
TA014,การท่องเที่ยวแห่งประเทศไทย สำนักงานนครนายก,ศูนย์ข้อมูลนักท่องเที่ยว,4,6,https://www.google.com/maps/place/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7%E0%B9%81%E0%B8%AB%E0%B9%88%E0%B8%87%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B9%84%E0%B8%97%E0%B8%A2+%E0%B8%AA%E0%B8%B3%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B8%81/data=!4m7!3m6!1s0x311db0295b0b31d9:0x288fcdc977a9a718!8m2!3d14.2127872!4d101.2011036!16s%2Fg%2F1hc7fh120!19sChIJ2TELWymwHTERGKepd8nNjyg?authuser=0&hl=th&rclk=1,https://www.tat8.com/,037 312 284,การท่องเที่ยวแห่งประเทศไทย สำนักงานนครนายก หมู่ที่ 1 182/88 ถ. สุวรรณศร ตำบล ท่าช้าง อำเภอเมืองนครนายก นครนายก 26000,,,"{'1': 1, '2': 0, '3': 0, '4': 2, '5': 3}",14.2127872,101.2011036
TA015,แก่งสามชั้น,สถานที่ท่องเที่ยว,4.1,3042,https://www.google.com/maps/place/%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%A1%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99/data=!4m7!3m6!1s0x311db4869bd68fb9:0x967eba0346f08ea!8m2!3d14.3022412!4d101.3028965!16s%2Fg%2F11b7fkcd42!19sChIJuY_Wm4a0HTER6ghvNKDrZwk?authuser=0&hl=th&rclk=1,,,แก่งสามชั้น ตำบล สาริกา อำเภอเมืองนครนายก นครนายก 26000,,สถานที่ท่องเที่ยวริมแม่น้ำ มีแผงขายอาหารและห่วงยาง รวมถึงกิจกรรมล่องแก่งน้ำเชี่ยวในช่วงฤดูฝน,"{'1': 130, '2': 106, '3': 463, '4': 823, '5': 1520}",14.3022412,101.3028965
TA016,แก่งหรรษา at อำเภอเมืองนครนายก,สถานที่ท่องเที่ยว,4.7,6,https://www.google.com/maps/place/%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%87%E0%B8%AB%E0%B8%A3%E0%B8%A3%E0%B8%A9%E0%B8%B2+at+%E0%B8%AD%E0%B8%B3%E0%B9%80%E0%B8%A0%E0%B8%AD%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B8%81/data=!4m7!3m6!1s0x311db566d2b281fd:0x5b0639d94523eb7b!8m2!3d14.3267079!4d101.3192905!16s%2Fg%2F11h5p11jzl!19sChIJ_YGy0ma1HTERe-sjRdk5Bls?authuser=0&hl=th&rclk=1,https://www.facebook.com/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%87%E0%B8%AB%E0%B8%A3%E0%B8%A3%E0%B8%A9%E0%B8%B2-%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%B1%E0%B8%81%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%95%E0%B8%81-at-%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%95%E0%B8%81%E0%B8%99%E0%B8%B2%E0%B8%87%E0%B8%A3%E0%B8%AD%E0%B8%87-486833455394637/,,88G9+MPM แก่งหรรษา at อำเภอเมืองนครนายก ตำบล หินตั้ง อำเภอเมืองนครนายก นครนายก 26000,,,"{'1': 0, '2': 0, '3': 0, '4': 2, '5': 4}",14.3267079,101.3192905
TA017,เขาหล่น-ผจญภัย,กีฬาผจญภัย,4.1,163,https://www.google.com/maps/place/%E0%B9%80%E0%B8%82%E0%B8%B2%E0%B8%AB%E0%B8%A5%E0%B9%88%E0%B8%99-%E0%B8%9C%E0%B8%88%E0%B8%8D%E0%B8%A0%E0%B8%B1%E0%B8%A2/data=!4m7!3m6!1s0x311db31480dd30d9:0xe89640fcc85d36a5!8m2!3d14.2638333!4d101.2598119!16s%2Fg%2F11ghltc099!19sChIJ2TDdgBSzHTERpTZdyPxAlug?authuser=0&hl=th&rclk=1,,,"7775+GWM เขาหล่น-ผจญภัย, ตำบล สาริกา อำเภอเมืองนครนายก นครนายก 26000",,,"{'1': 4, '2': 2, '3': 35, '4': 52, '5': 70}",14.2638333,101.2598119
TA018,เขื่อนขุนด่านปราการชล,สถานที่ท่องเที่ยว,4.5,13407,https://www.google.com/maps/place/%E0%B9%80%E0%B8%82%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%99%E0%B8%82%E0%B8%B8%E0%B8%99%E0%B8%94%E0%B9%88%E0%B8%B2%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%8A%E0%B8%A5/data=!4m7!3m6!1s0x311db4bfbc7adfc7:0xc586dcf6cf6c2947!8m2!3d14.3140835!4d101.3213219!16s%2Fg%2F1230d2mq!19sChIJx996vL-0HTERRylsz_bchsU?authuser=0&hl=th&rclk=1,http://www.khundan.com/,037 349 557,เขื่อนขุนด่านปราการชล หมู่ที่ 2 บ้านท่าด่าน ตำบล หินตั้ง อำเภอเมืองนครนายก นครนายก 26000,,เขื่อนคอนกรีตขนาดใหญ่ที่สร้างแบบร่วมสมัยแห่งนี้มีทางให้นักท่องเที่ยวเดินชมวิวอันกว้างไกลได้,"{'1': 247, '2': 134, '3': 1008, '4': 3516, '5': 8502}",14.3140835,101.3213219
